,,B,Ba,Ca,Cl,K,Li,Mg,Na,S,Si,Sr,Zn
,,Ax_249.678,Ax_230.424,Ax_315.887,Ax_774.497,Ax_766.491,Ax_670.783,Ax_285.213,Ax_568.821,R_181.972,Ax_288.158,Ax_407.771,R_202.548
,,ppm,ppb,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
main,2024-03-21,4.73+/-0.25,2.6+/-2.0,469+/-22,(2.03+/-0.15)e+04,454+/-21,0.187+/-0.009,(1.41+/-0.06)e+03,(1.12+/-0.05)e+04,(9.6+/-0.7)e+02,0.4+/-0.4,8.0+/-0.4,0.00044+/-0.00016
main,2024-03-28,4.77+/-0.25,2.1+/-2.1,475+/-22,(2.03+/-0.15)e+04,454+/-21,0.189+/-0.009,(1.43+/-0.06)e+03,(1.12+/-0.05)e+04,(9.7+/-0.7)e+02,0.5+/-0.4,8.0+/-0.4,0.00043+/-0.00016
main,2024-04-04,4.54+/-0.25,2.2+/-2.1,453+/-22,(1.95+/-0.15)e+04,431+/-21,0.180+/-0.009,(1.37+/-0.06)e+03,(1.07+/-0.05)e+04,(9.4+/-0.7)e+02,0.6+/-0.4,7.6+/-0.4,0.00043+/-0.00015
main,2024-04-11,4.44+/-0.25,1.8+/-2.1,444+/-21,(1.91+/-0.15)e+04,420+/-20,0.178+/-0.009,(1.35+/-0.06)e+03,(1.05+/-0.05)e+04,(9.1+/-0.7)e+02,0.4+/-0.4,7.4+/-0.4,0.00045+/-0.00018
main,2024-04-18,4.67+/-0.25,2.2+/-2.1,466+/-22,(1.98+/-0.15)e+04,438+/-21,0.187+/-0.009,(1.41+/-0.06)e+03,(1.10+/-0.05)e+04,(9.6+/-0.7)e+02,0.4+/-0.4,7.7+/-0.4,0.00044+/-0.00016
main,2024-04-25,4.70+/-0.25,1.6+/-2.2,470+/-22,(1.94+/-0.15)e+04,441+/-21,0.188+/-0.009,(1.42+/-0.06)e+03,(1.11+/-0.05)e+04,(9.7+/-0.7)e+02,0.4+/-0.4,7.7+/-0.4,0.00043+/-0.00016
main,2024-05-02,4.64+/-0.25,1.3+/-2.2,466+/-22,(2.03+/-0.15)e+04,443+/-21,0.191+/-0.009,(1.40+/-0.06)e+03,(1.10+/-0.05)e+04,(9.7+/-0.7)e+02,0.4+/-0.4,7.7+/-0.4,0.00043+/-0.00015
main,2024-05-09,4.52+/-0.25,1.6+/-2.2,459+/-22,(1.95+/-0.15)e+04,440+/-21,0.191+/-0.009,(1.39+/-0.06)e+03,(1.09+/-0.05)e+04,(9.4+/-0.7)e+02,0.3+/-0.5,7.5+/-0.4,0.00044+/-0.00017
main,2024-05-16,4.48+/-0.25,1.5+/-2.2,458+/-22,(2.08+/-0.15)e+04,444+/-21,0.195+/-0.009,(1.38+/-0.06)e+03,(1.08+/-0.05)e+04,(9.4+/-0.7)e+02,0.4+/-0.4,7.5+/-0.4,0.00044+/-0.00016
main,2024-05-21,4.44+/-0.25,1.6+/-2.2,436+/-21,(1.93+/-0.15)e+04,440+/-21,0.193+/-0.009,(1.37+/-0.06)e+03,(1.07+/-0.05)e+04,(9.4+/-0.7)e+02,0.3+/-0.5,6.9+/-0.5,0.00043+/-0.00016
ASW,2024-05-21,4.72+/-0.25,2.4+/-2.1,502+/-23,(1.98+/-0.15)e+04,464+/-21,0.212+/-0.010,(1.46+/-0.06)e+03,(1.10+/-0.05)e+04,(1.02+/-0.08)e+03,0.8+/-0.4,8.5+/-0.4,0.00039+/-0.00015
